time,cyklisté,chodci
Lidická B,,z centra,do centra
2020-06-20 11:00,197,497,12938,460
2020-06-20 12:00,197,497,12943,460
2020-06-20 13:00,197,497,12946,460
2020-06-20 14:00,197,497,12950,460
2020-06-20 15:00,197,497,12961,460
2020-06-20 16:00,197,497,12970,460
2020-06-20 17:00,197,497,12974,460
2020-06-20 18:00,197,497,12978,460
2020-06-20 19:00,197,497,12982,460
2020-06-20 20:00,197,497,12991,460
2020-06-20 21:00,197,497,12998,460
2020-06-20 22:00,197,497,13000,460
2020-06-20 23:00,197,497,13003,460
2020-06-21 01:00,197,497,13022,460
2020-06-21 02:00,197,497,13022,460
2020-06-21 03:00,197,497,13024,460
2020-06-21 04:00,197,497,13025,460
2020-06-21 05:00,197,497,13026,460
2020-06-21 06:00,197,497,13026,460
2020-06-21 07:00,197,497,13027,460
2020-06-21 08:00,197,497,13028,460
2020-06-21 09:00,197,497,13029,460
2020-06-21 10:00,197,497,13029,460
2020-06-21 11:00,197,497,13033,460
2020-06-21 12:00,197,497,13043,460
2020-06-21 13:00,197,497,13047,460
2020-06-21 14:00,197,497,13058,460
2020-06-21 15:00,197,497,13069,460
2020-06-21 16:00,197,497,13079,460
2020-06-21 17:00,197,497,13095,460
2020-06-21 18:00,197,497,13112,460
2020-06-21 19:00,197,497,13128,460
2020-06-21 20:00,197,497,13144,460
2020-06-21 21:00,197,497,13163,460
2020-06-21 22:00,197,497,13177,460
2020-06-21 23:00,197,497,13187,460
2020-06-22 00:00,197,497,13192,460
2020-06-22 01:00,197,497,13197,460
2020-06-22 02:00,197,497,13201,460
2020-06-22 03:00,197,497,13205,460
2020-06-22 04:00,197,497,13205,460
2020-06-22 05:00,197,497,13207,460
2020-06-22 06:00,197,497,13209,460
2020-06-22 07:00,197,497,13217,460
2020-06-22 08:00,197,497,13242,460
2020-06-22 09:00,197,497,13274,460
2020-06-22 10:00,197,497,13298,460
2020-06-22 11:00,197,497,13315,460
2020-06-22 12:00,197,497,13340,460
2020-06-22 13:00,197,497,13370,460
2020-06-22 14:00,197,497,13394,460
2020-06-22 15:00,197,497,13424,460
2020-06-22 16:00,197,497,13451,460
2020-06-22 17:00,197,497,13503,460
2020-06-22 18:00,197,497,13564,460
2020-06-22 19:00,197,497,13626,460
2020-06-22 20:00,197,497,13695,460
2020-06-22 21:00,197,497,13745,460
2020-06-22 22:00,197,497,13787,460
2020-06-22 23:00,197,497,13816,460
2020-06-23 00:00,197,497,13829,460
2020-06-23 01:00,197,497,13841,460
2020-06-23 02:00,197,497,13849,460
2020-06-23 03:00,197,497,13855,460
2020-06-23 04:00,197,497,13857,460
2020-06-23 05:00,197,497,13857,460
2020-06-23 06:00,197,497,13858,460
2020-06-23 07:00,197,497,13869,460
2020-06-23 08:00,197,497,13898,460
2020-06-23 09:00,197,497,13940,460
2020-06-23 10:00,197,497,13968,460
2020-06-23 11:00,197,497,13990,460
2020-06-23 12:00,197,497,14017,460
2020-06-23 13:00,197,497,14052,460
2020-06-23 14:00,197,497,14092,460
2020-06-23 15:00,197,497,14128,460
2020-06-23 16:00,197,497,14175,460
2020-06-23 17:00,197,497,14222,460
2020-06-23 18:00,197,497,14299,460
2020-06-23 19:00,197,497,14367,460
2020-06-23 20:00,197,497,14436,460
2020-06-23 21:00,197,497,14489,460
2020-06-23 22:00,197,497,14489,460
2020-06-23 23:00,197,497,14523,460
2020-06-24 00:00,197,497,14544,460
2020-06-24 01:00,197,497,14555,460
2020-06-24 02:00,197,497,14562,460
2020-06-24 03:00,197,497,14562,460
2020-06-24 04:00,197,497,14563,460
2020-06-24 05:00,197,497,14565,460
2020-06-24 06:00,197,497,14567,460
2020-06-24 07:00,197,497,14572,460
2020-06-24 08:00,197,497,14612,460
2020-06-24 09:00,197,497,14638,460
2020-06-24 10:00,197,497,14658,460
2020-06-24 11:00,197,497,14685,460
2020-06-24 12:00,197,497,14706,460
2020-06-24 13:00,197,497,14742,460
2020-06-24 14:00,197,497,14772,460
2020-06-24 15:00,197,497,14772,460
2020-06-24 16:00,197,497,14781,460
2020-06-24 17:00,197,497,14803,460
2020-06-24 18:00,197,497,14841,460
2020-06-24 19:00,197,497,14891,460
2020-06-24 20:00,197,497,14936,460
2020-06-24 21:00,197,497,14971,460
2020-06-24 22:00,197,497,14971,460
2020-06-24 23:00,197,497,14971,460
2020-06-25 00:00,197,497,14971,460
2020-06-25 01:00,197,497,14971,460
2020-06-25 02:00,197,497,14971,460
2020-06-25 03:00,197,497,14971,460
2020-06-25 04:00,197,497,14971,460
2020-06-25 05:00,197,497,14971,460
2020-06-25 06:00,197,497,14971,460
2020-06-25 07:00,197,497,14971,460
2020-06-25 08:00,197,497,14971,460
2020-06-25 09:00,197,497,14971,460
2020-06-25 10:00,197,497,14988,460
2020-06-25 11:00,197,497,15007,460
2020-06-25 12:00,197,497,15037,460
2020-06-25 13:00,197,497,15067,460
2020-06-25 14:00,197,497,15101,460
2020-06-25 15:00,197,497,15133,460
2020-06-25 16:00,197,497,15173,460
2020-06-25 17:00,197,497,15218,460
2020-06-25 18:00,197,497,15266,460
2020-06-25 19:00,197,497,15323,460
2020-06-25 20:00,197,497,15380,460
2020-06-25 21:00,197,497,15484,460
2020-06-25 22:00,197,497,15524,460
2020-06-25 23:00,197,497,15557,460
2020-06-26 00:00,197,497,15570,460
2020-06-26 01:00,197,497,15576,460
2020-06-26 02:00,197,497,15582,460
2020-06-26 03:00,197,497,15585,460
2020-06-26 04:00,197,497,15588,460
2020-06-26 05:00,197,497,15589,460
2020-06-26 06:00,197,497,15589,460
2020-06-26 07:00,197,497,15592,460
2020-06-26 08:00,197,497,15602,460
2020-06-26 09:00,197,497,15607,460
2020-06-26 10:00,197,497,15615,460
2020-06-26 11:00,197,497,15624,460
2020-06-26 12:00,197,497,15640,460
2020-06-26 14:00,197,497,15691,460
2020-06-26 15:00,197,497,15711,460
2020-06-26 16:00,197,497,15730,460
2020-06-26 17:00,197,497,15758,460
2020-06-26 18:00,197,497,15779,460
2020-06-26 19:00,197,497,15808,460
2020-06-26 20:00,197,497,15837,460
2020-06-26 21:00,197,497,15853,460
2020-06-26 22:00,197,497,15875,460
2020-06-26 23:00,197,497,15896,460
2020-06-27 00:00,197,497,15911,460
2020-06-27 01:00,197,497,15923,460
2020-06-27 02:00,197,497,15943,460
2020-06-27 03:00,197,497,15949,460
2020-06-27 04:00,197,497,15956,460
2020-06-27 05:00,197,497,15963,460
2020-06-27 06:00,197,497,15965,460
2020-06-27 07:00,197,497,15966,460
2020-06-27 08:00,197,497,15972,460
2020-06-27 09:00,197,497,16003,460
2020-06-27 10:00,197,497,16007,460
2020-06-27 11:00,197,497,16021,460
2020-06-27 12:00,197,497,16037,460
2020-06-27 13:00,197,497,16066,460
2020-06-27 14:00,197,497,16096,460
2020-06-27 15:00,197,497,16125,460
2020-06-27 16:00,197,497,16140,460
2020-06-27 17:00,197,497,16160,460
2020-06-27 18:00,197,497,16179,460
2020-06-27 19:00,197,497,16198,460
2020-06-27 20:00,197,497,16224,460
2020-06-27 21:00,197,497,16249,460
2020-06-27 22:00,197,497,16275,460
2020-06-27 23:00,197,497,16288,460
2020-06-28 00:00,197,497,16297,460
2020-06-28 01:00,197,497,16309,460
2020-06-28 02:00,197,497,16315,460
2020-06-28 03:00,197,497,16322,460
