time,cyklisté,chodci
Lidická A,,do centra,z centra
2020-06-18 20:00,4855,12634,21153,10700
2020-06-18 21:00,4855,12634,21173,10700
2020-06-18 22:00,4855,12634,21187,10700
2020-06-18 23:00,4855,12634,21199,10700
2020-06-19 00:00,4855,12634,21206,10700
2020-06-19 01:00,4855,12634,21210,10700
2020-06-19 02:00,4855,12634,21213,10700
2020-06-19 03:00,4855,12634,21215,10700
2020-06-19 04:00,4855,12634,21215,10700
2020-06-19 05:00,4855,12634,21216,10700
2020-06-19 06:00,4855,12634,21218,10700
2020-06-19 07:00,4855,12634,21227,10700
2020-06-19 08:00,4855,12634,21245,10700
2020-06-19 09:00,4855,12634,21266,10700
2020-06-19 10:00,4855,12634,21282,10700
2020-06-19 11:00,4855,12634,21294,10700
2020-06-19 12:00,4855,12634,21311,10700
2020-06-19 13:00,4855,12634,21322,10700
2020-06-19 14:00,4855,12634,21334,10700
2020-06-19 15:00,4855,12634,21349,10700
2020-06-19 16:00,4855,12634,21374,10700
2020-06-19 17:00,4855,12634,21386,10700
2020-06-19 18:00,4855,12634,21409,10700
2020-06-19 19:00,4855,12634,21428,10700
2020-06-19 20:00,4855,12634,21457,10700
2020-06-19 21:00,4855,12634,21469,10700
2020-06-19 22:00,4855,12634,21479,10700
2020-06-19 23:00,4855,12634,21484,10700
2020-06-20 00:00,4855,12634,21490,10700
2020-06-20 01:00,4855,12634,21495,10700
2020-06-20 02:00,4855,12634,21498,10700
2020-06-20 03:00,4855,12634,21501,10700
2020-06-20 04:00,4855,12634,21501,10700
2020-06-20 05:00,4855,12634,21501,10700
2020-06-20 06:00,4855,12634,21501,10700
2020-06-20 07:00,4855,12634,21501,10700
2020-06-20 08:00,4855,12634,21505,10700
2020-06-20 09:00,4855,12634,21510,10700
2020-06-20 10:00,4855,12634,21516,10700
2020-06-20 11:00,4855,12634,21531,10700
2020-06-20 12:00,4855,12634,21542,10700
2020-06-20 13:00,4855,12634,21553,10700
2020-06-20 14:00,4855,12634,21558,10700
2020-06-20 15:00,4855,12634,21568,10700
2020-06-20 16:00,4855,12634,21573,10700
2020-06-20 17:00,4855,12634,21573,10700
2020-06-20 18:00,4855,12634,21576,10700
2020-06-20 19:00,4855,12634,21586,10700
2020-06-20 20:00,4855,12634,21592,10700
2020-06-20 21:00,4855,12634,21603,10700
2020-06-20 22:00,4855,12634,21607,10700
2020-06-20 23:00,4855,12634,21611,10700
2020-06-21 01:00,4855,12634,21613,10700
2020-06-21 02:00,4855,12634,21616,10700
2020-06-21 03:00,4855,12634,21616,10700
2020-06-21 04:00,4855,12634,21617,10700
2020-06-21 05:00,4855,12634,21618,10700
2020-06-21 06:00,4855,12634,21619,10700
2020-06-21 07:00,4855,12634,21619,10700
2020-06-21 08:00,4855,12634,21619,10700
2020-06-21 09:00,4855,12634,21620,10700
2020-06-21 10:00,4855,12634,21621,10700
2020-06-21 11:00,4855,12634,21629,10700
2020-06-21 12:00,4855,12634,21631,10700
2020-06-21 13:00,4855,12634,21632,10700
2020-06-21 14:00,4855,12634,21641,10700
2020-06-21 15:00,4855,12634,21648,10700
2020-06-21 16:00,4855,12634,21655,10700
2020-06-21 17:00,4855,12634,21676,10700
2020-06-21 18:00,4855,12634,21687,10700
2020-06-21 19:00,4855,12634,21708,10700
2020-06-21 20:00,4855,12634,21721,10700
2020-06-21 21:00,4855,12634,21736,10700
2020-06-21 22:00,4855,12634,21748,10700
2020-06-21 23:00,4855,12634,21754,10700
2020-06-22 00:00,4855,12634,21759,10700
2020-06-22 01:00,4855,12634,21760,10700
2020-06-22 02:00,4855,12634,21762,10700
2020-06-22 03:00,4855,12634,21762,10700
2020-06-22 04:00,4855,12634,21762,10700
2020-06-22 05:00,4855,12634,21763,10700
2020-06-22 06:00,4855,12634,21765,10700
2020-06-22 07:00,4855,12634,21789,10700
2020-06-22 08:00,4855,12634,21822,10700
2020-06-22 09:00,4855,12634,21868,10700
2020-06-22 10:00,4855,12634,21914,10700
2020-06-22 11:00,4855,12634,21953,10700
2020-06-22 12:00,4855,12634,21981,10700
2020-06-22 13:00,4855,12634,21999,10700
2020-06-22 14:00,4855,12634,22025,10700
2020-06-22 15:00,4855,12634,22046,10700
2020-06-22 16:00,4855,12634,22083,10700
2020-06-22 17:00,4855,12634,22139,10700
2020-06-22 18:00,4855,12634,22184,10700
2020-06-22 19:00,4855,12634,22247,10700
2020-06-22 20:00,4855,12634,22290,10700
2020-06-22 21:00,4855,12634,22326,10700
2020-06-22 22:00,4855,12634,22352,10700
2020-06-22 23:00,4855,12634,22373,10700
2020-06-23 00:00,4855,12634,22381,10700
2020-06-23 01:00,4855,12634,22389,10700
2020-06-23 02:00,4855,12634,22392,10700
2020-06-23 03:00,4855,12634,22395,10700
2020-06-23 04:00,4855,12634,22396,10700
2020-06-23 05:00,4855,12634,22396,10700
2020-06-23 06:00,4855,12634,22402,10700
2020-06-23 07:00,4855,12634,22432,10700
2020-06-23 08:00,4855,12634,22484,10700
2020-06-23 09:00,4855,12634,22535,10700
2020-06-23 10:00,4855,12634,22589,10700
2020-06-23 11:00,4855,12634,22622,10700
2020-06-23 12:00,4855,12634,22658,10700
2020-06-23 13:00,4855,12634,22686,10700
2020-06-23 14:00,4855,12634,22714,10700
2020-06-23 15:00,4855,12634,22743,10700
2020-06-23 16:00,4855,12634,22780,10700
2020-06-23 17:00,4855,12634,22825,10700
2020-06-23 18:00,4855,12634,22880,10700
2020-06-23 19:00,4855,12634,22940,10700
2020-06-23 20:00,4855,12634,22987,10700
2020-06-23 21:00,4855,12634,23024,10700
2020-06-23 22:00,4855,12634,23068,10700
2020-06-23 23:00,4855,12634,23097,10700
2020-06-24 00:00,4855,12634,23110,10700
2020-06-24 01:00,4855,12634,23121,10700
2020-06-24 02:00,4855,12634,23124,10700
2020-06-24 03:00,4855,12634,23125,10700
2020-06-24 04:00,4855,12634,23125,10700
2020-06-24 05:00,4855,12634,23127,10700
2020-06-24 06:00,4855,12634,23131,10700
2020-06-24 07:00,4855,12634,23151,10700
