time,cyklisté,chodci
Kounicova B,,do centra,z centra
2020-06-17 18:00,5827,8774,12246,8027
2020-06-17 19:00,5827,8774,12279,8027
2020-06-17 20:00,5827,8774,12312,8027
2020-06-17 21:00,5827,8774,12336,8027
2020-06-17 22:00,5827,8774,12345,8027
2020-06-17 23:00,5827,8774,12353,8027
2020-06-18 00:00,5827,8774,12361,8027
2020-06-18 01:00,5827,8774,12362,8027
2020-06-18 02:00,5827,8774,12366,8027
2020-06-18 03:00,5827,8774,12366,8027
2020-06-18 04:00,5827,8774,12366,8027
2020-06-18 05:00,5827,8774,12367,8027
2020-06-18 06:00,5827,8774,12368,8027
2020-06-18 07:00,5827,8774,12376,8027
2020-06-18 08:00,5827,8774,12385,8027
2020-06-18 09:00,5827,8774,12399,8027
2020-06-18 10:00,5827,8774,12412,8027
2020-06-18 11:00,5827,8774,12422,8027
2020-06-18 12:00,5827,8774,12425,8027
2020-06-18 13:00,5827,8774,12431,8027
2020-06-18 14:00,5827,8774,12432,8027
2020-06-18 15:00,5827,8774,12436,8027
2020-06-18 16:00,5827,8774,12444,8027
2020-06-18 17:00,5827,8774,12456,8027
2020-06-18 18:00,5827,8774,12471,8027
2020-06-18 19:00,5827,8774,12488,8027
2020-06-18 20:00,5827,8774,12498,8027
2020-06-18 21:00,5827,8774,12517,8027
2020-06-18 22:00,5827,8774,12527,8027
2020-06-18 23:00,5827,8774,12534,8027
2020-06-19 00:00,5827,8774,12537,8027
2020-06-19 01:00,5827,8774,12539,8027
2020-06-19 02:00,5827,8774,12540,8027
2020-06-19 03:00,5827,8774,12540,8027
2020-06-19 04:00,5827,8774,12542,8027
2020-06-19 05:00,5827,8774,12542,8027
2020-06-19 06:00,5827,8774,12542,8027
2020-06-19 07:00,5827,8774,12547,8027
2020-06-19 08:00,5827,8774,12559,8027
2020-06-19 09:00,5827,8774,12568,8027
2020-06-19 10:00,5827,8774,12576,8027
2020-06-19 11:00,5827,8774,12583,8027
2020-06-19 12:00,5827,8774,12591,8027
2020-06-19 13:00,5827,8774,12598,8027
2020-06-19 14:00,5827,8774,12604,8027
2020-06-19 15:00,5827,8774,12609,8027
2020-06-19 16:00,5827,8774,12615,8027
2020-06-19 17:00,5827,8774,12622,8027
2020-06-19 18:00,5827,8774,12631,8027
2020-06-19 19:00,5827,8774,12645,8027
2020-06-19 20:00,5827,8774,12659,8027
2020-06-19 21:00,5827,8774,12665,8027
2020-06-19 22:00,5827,8774,12674,8027
2020-06-19 23:00,5827,8774,12676,8027
2020-06-20 00:00,5827,8774,12677,8027
2020-06-20 01:00,5827,8774,12677,8027
2020-06-20 02:00,5827,8774,12678,8027
2020-06-20 03:00,5827,8774,12680,8027
2020-06-20 04:00,5827,8774,12680,8027
2020-06-20 05:00,5827,8774,12680,8027
2020-06-20 06:00,5827,8774,12680,8027
2020-06-20 07:00,5827,8774,12681,8027
2020-06-20 08:00,5827,8774,12683,8027
2020-06-20 09:00,5827,8774,12686,8027
2020-06-20 10:00,5827,8774,12689,8027
2020-06-20 11:00,5827,8774,12695,8027
2020-06-20 12:00,5827,8774,12703,8027
2020-06-20 13:00,5827,8774,12708,8027
2020-06-20 14:00,5827,8774,12712,8027
2020-06-20 15:00,5827,8774,12712,8027
2020-06-20 16:00,5827,8774,12716,8027
2020-06-20 17:00,5827,8774,12721,8027
2020-06-20 18:00,5827,8774,12722,8027
2020-06-20 19:00,5827,8774,12726,8027
2020-06-20 20:00,5827,8774,12728,8027
2020-06-20 21:00,5827,8774,12729,8027
2020-06-20 22:00,5827,8774,12732,8027
2020-06-20 23:00,5827,8774,12733,8027
2020-06-21 01:00,5827,8774,12734,8027
2020-06-21 02:00,5827,8774,12735,8027
2020-06-21 03:00,5827,8774,12735,8027
2020-06-21 04:00,5827,8774,12735,8027
2020-06-21 05:00,5827,8774,12735,8027
2020-06-21 06:00,5827,8774,12736,8027
2020-06-21 07:00,5827,8774,12736,8027
2020-06-21 08:00,5827,8774,12736,8027
2020-06-21 09:00,5827,8774,12737,8027
2020-06-21 10:00,5827,8774,12743,8027
2020-06-21 11:00,5827,8774,12746,8027
2020-06-21 12:00,5827,8774,12752,8027
2020-06-21 13:00,5827,8774,12756,8027
2020-06-21 14:00,5827,8774,12758,8027
2020-06-21 15:00,5827,8774,12761,8027
2020-06-21 16:00,5827,8774,12769,8027
2020-06-21 17:00,5827,8774,12774,8027
2020-06-21 18:00,5827,8774,12782,8027
2020-06-21 19:00,5827,8774,12788,8027
2020-06-21 20:00,5827,8774,12801,8027
2020-06-21 21:00,5827,8774,12809,8027
2020-06-21 22:00,5827,8774,12817,8027
2020-06-21 23:00,5827,8774,12818,8027
2020-06-22 00:00,5827,8774,12819,8027
2020-06-22 01:00,5827,8774,12819,8027
2020-06-22 02:00,5827,8774,12819,8027
2020-06-22 03:00,5827,8774,12820,8027
2020-06-22 04:00,5827,8774,12820,8027
2020-06-22 05:00,5827,8774,12820,8027
2020-06-22 06:00,5827,8774,12820,8027
2020-06-22 07:00,5827,8774,12827,8027
2020-06-22 08:00,5827,8774,12845,8027
2020-06-22 09:00,5827,8774,12876,8027
2020-06-22 10:00,5827,8774,12921,8027
2020-06-22 11:00,5827,8774,12944,8027
2020-06-22 12:00,5827,8774,12961,8027
2020-06-22 13:00,5827,8774,12981,8027
2020-06-22 14:00,5827,8774,13006,8027
2020-06-22 15:00,5827,8774,13024,8027
2020-06-22 16:00,5827,8774,13043,8027
2020-06-22 17:00,5827,8774,13073,8027
2020-06-22 18:00,5827,8774,13100,8027
